date,name,category,value
2022-03-22,Thepointofitall,hashtag,2
2022-03-22,Thanksvolunteers,hashtag,2
2022-03-22,Telestoutinfo,hashtag,2
2022-03-22,Telegram,hashtag,2
2022-03-23,Tech,hashtag,2
2022-03-22,Teamvox,hashtag,2
2022-03-22,Tbilisi,hashtag,2
2022-03-22,Talk show,hashtag,2
2022-03-22,Invisimole,hashtag,2
2022-03-22,Holocaust,hashtag,2
2022-03-22,Säkpol,hashtag,2
2022-03-22,Syrians,hashtag,2
2022-03-23,Syria,hashtag,2
2022-03-22,Zurich,hashtag,2
2022-03-22,Iqooz6onamazon,hashtag,2
2022-03-22,Iran,hashtag,2
2022-03-23,Switzerland,hashtag,2
2022-03-22,adsb,hashtag,2
2022-03-22,Ireland,hashtag,2
2022-03-22,Indiaaustraliasummit,hashtag,2
2022-03-22,Indiaaustralia,hashtag,2
2022-03-22,Thread,hashtag,2
2022-03-22,Zforzelensky,hashtag,2
2022-03-22,Horrific,hashtag,2
2022-03-22,Tuesdaymotivations,hashtag,2
2022-03-22,Hr,hashtag,2
2022-03-23,Hr6600,hashtag,2
2022-03-23,Hungary,hashtag,2
2022-03-23,Trump,hashtag,2
2022-03-23,Trending,hashtag,2
2022-03-23,Hunterbiden,hashtag,2
2022-03-22,Hypersonicmissiles,hashtag,2
2022-03-22,Gmb,hashtag,2
2022-03-22,Hypocrite,hashtag,2
2022-03-22,I'm with putin,hashtag,2
2022-03-22,Toulouse,hashtag,2
2022-03-22,Toryrussianassets,hashtag,2
2022-03-23,Icrc_helpyouthactivists,hashtag,2
2022-03-23,Icymi,hashtag,2
2022-03-22,Tomorrowspaperstoday,hashtag,2
2022-03-23,Tiki,hashtag,2
2022-03-22,Immigration,hashtag,2
2022-03-22,Goodmorning,hashtag,2
2022-03-23,Нетвойне,hashtag,2
2022-03-22,Glorytoukraine,hashtag,2
2022-03-22,Empire,hashtag,2
2022-03-22,Dwnews,hashtag,2
2022-03-22,West,hashtag,2
2022-03-22,Україна,hashtag,2
2022-03-23,Wef,hashtag,2
2022-03-22,Easternghouta,hashtag,2
2022-03-22,Ebook,hashtag,2
2022-03-23,Warinukraine,hashtag,2
2022-03-23,Warcrimes,hashtag,2
2022-03-22,Embargoforpeace,hashtag,2
2022-03-22,Energy,hashtag,2
2022-03-22,Ukjobs,hashtag,2
2022-03-22,Enerhodar,hashtag,2
2022-03-22,Eritrea,hashtag,2
2022-03-23,Eritrea,hashtag,2
2022-03-22,War2022,hashtag,2
